anon_post_id,anon_user_id,day,valence,llm,sentiment_score,human_operator_comment_count,ai_comment_count,participant_comment_count,text_length,ai_HL,humanFB,aiFB,aiDose,loglen,llm_next,day_next,humanFB_lag,aiFB_lag,llm_lag
BP0287,U0101,5,1,0.5,0.467,0,1,0,741,0.007440961907721088,0,1,1,6.60934924316738,,,0.0,1.0,0.5
BP0353,U0104,0,1,0.5,0.0,1,0,0,328,,1,0,0,5.796057750765372,0.0,1.0,,,
BP0218,U0104,1,0,0.0,0.6,0,1,0,252,0.026192796502818024,0,1,1,5.53338948872752,0.5,2.0,1.0,0.0,0.5
BP0229,U0104,2,1,0.5,0.667,0,1,0,225,0.007492163053690041,0,1,1,5.420534999272286,0.5,3.0,0.0,1.0,0.0
BP0249,U0104,3,1,0.5,0.25,0,1,0,388,0.04684165239765522,0,1,1,5.963579343618446,0.5,4.0,0.0,1.0,0.5
BP0005,U0104,4,1,0.5,0.636,0,1,0,492,0.01421205099183211,0,1,1,6.20050917404269,0.5,5.0,0.0,1.0,0.5
BP0247,U0104,5,1,0.5,0.538,0,1,0,416,0.007124359518378283,0,1,1,6.0330862217988015,,,0.0,1.0,0.5
BP0192,U0106,0,1,0.5,1.0,1,0,1,339,,1,0,0,5.8289456176102075,0.5,1.0,,,
BP0227,U0106,1,1,0.5,0.667,0,2,0,666,0.04837317335428462,0,1,2,6.502790045915623,0.5,2.0,1.0,0.0,0.5
BP0345,U0106,2,1,0.5,0.455,0,1,0,829,0.009276769158416623,0,1,1,6.721425700790643,0.5,3.0,0.0,1.0,0.5
BP0033,U0106,3,1,0.5,0.714,0,1,0,459,0.003807104596242708,0,1,1,6.131226489483141,0.5,4.0,0.0,1.0,0.5
BP0286,U0106,4,1,0.5,0.6,0,0,0,624,,0,0,0,6.437751649736401,0.5,5.0,0.0,1.0,0.5
BP0366,U0106,5,1,0.5,0.6,0,0,0,358,,0,0,0,5.883322388488279,,,0.0,0.0,0.5
BP0245,U0116,0,1,0.5,0.333,1,0,0,376,,1,0,0,5.932245187448011,1.0,1.0,,,
BP0186,U0116,1,2,1.0,0.667,0,1,0,242,0.0022411155980275143,0,1,1,5.493061443340548,1.0,2.0,1.0,0.0,0.5
BP0238,U0116,2,2,1.0,0.429,0,1,0,321,0.007483042714521125,0,1,1,5.7745515455444085,0.5,3.0,0.0,1.0,1.0
BP0204,U0116,3,1,0.5,0.5,0,1,0,252,0.0011189728994282684,0,1,1,5.53338948872752,1.0,4.0,0.0,1.0,1.0
BP0040,U0116,4,2,1.0,0.667,0,1,0,244,0.006063397459461514,0,1,1,5.501258210544727,0.5,5.0,0.0,1.0,0.5
BP0194,U0116,5,1,0.5,0.556,0,1,0,338,0.003424207178526582,0,1,1,5.82600010738045,,,0.0,1.0,1.0
BP0001,U0121,0,1,0.5,1.0,1,0,0,325,,1,0,0,5.786897381366708,0.5,1.0,,,
BP0364,U0121,1,1,0.5,0.5,0,1,0,588,0.039340660346650215,0,1,1,6.3784261836515865,0.0,2.0,1.0,0.0,0.5
BP0253,U0121,2,0,0.0,0.556,0,1,0,366,0.010156181987114658,0,1,1,5.905361848054571,0.0,3.0,0.0,1.0,0.5
BP0079,U0121,3,0,0.0,0.333,0,0,0,417,,0,0,0,6.035481432524756,1.0,4.0,0.0,1.0,0.0
BP0125,U0121,4,2,1.0,0.25,0,0,0,435,,0,0,0,6.077642243349034,1.0,5.0,0.0,0.0,0.0
BP0362,U0121,5,2,1.0,0.0,0,0,0,462,,0,0,0,6.137727054086234,,,0.0,0.0,1.0
BP0076,U0125,0,1,0.5,1.0,1,0,0,255,,1,0,0,5.545177444479562,,,,,
BP0100,U0126,0,1,0.5,1.0,1,0,0,461,,1,0,0,6.135564891081739,0.5,1.0,,,
BP0370,U0126,1,1,0.5,0.5,0,1,0,383,0.006093062758035394,0,1,1,5.950642552587727,0.5,2.0,1.0,0.0,0.5
BP0363,U0126,2,1,0.5,0.25,0,1,0,616,0.004020599276407471,0,1,1,6.424869023905388,,,0.0,1.0,0.5
BP0177,U0129,0,1,0.5,1.0,1,0,0,445,,1,0,0,6.100318952020064,0.5,1.0,,,
BP0039,U0129,1,1,0.5,0.667,0,1,0,456,0.002204521262425572,0,1,1,6.124683390894205,,,1.0,0.0,0.5
BP0158,U0132,0,1,0.5,1.0,1,0,0,240,,1,0,0,5.484796933490655,0.5,1.0,,,
BP0289,U0132,1,1,0.5,0.333,2,1,1,232,2.3704841114985244e-05,1,1,1,5.4510384535657,0.5,2.0,1.0,0.0,0.5
BP0167,U0132,2,1,0.5,0.667,0,1,0,277,2.890630165846758e-06,0,1,1,5.627621113690637,0.5,3.0,1.0,1.0,0.5
BP0162,U0132,3,1,0.5,0.714,0,1,0,223,1.2957510201374495e-05,0,1,1,5.4116460518550396,0.5,4.0,0.0,1.0,0.5
BP0241,U0132,4,1,0.5,0.6,0,1,0,273,0.00014167238394528024,0,1,1,5.6131281063880705,0.5,5.0,0.0,1.0,0.5
BP0209,U0132,5,1,0.5,0.556,0,1,0,342,0.068865270815273,0,1,1,5.8377304471659395,,,0.0,1.0,0.5
BP0089,U0133,0,1,0.5,0.333,1,0,0,305,,1,0,0,5.723585101952381,0.5,1.0,,,
BP0244,U0133,1,1,0.5,0.0,1,1,0,174,0.019273429523873366,1,1,1,5.1647859739235145,,,1.0,0.0,0.5
BP0016,U0138,0,1,0.5,0.6,1,0,0,384,,1,0,0,5.953243334287785,1.0,1.0,,,
BP0346,U0138,1,2,1.0,0.455,0,1,0,542,0.010773651989128125,0,1,1,6.297109319933935,1.0,2.0,1.0,0.0,0.5
BP0020,U0138,2,2,1.0,0.429,0,1,0,312,0.001471632133091706,0,1,1,5.746203190540153,1.0,3.0,0.0,1.0,1.0
BP0325,U0138,3,2,1.0,0.75,0,1,0,553,0.0015385612244879286,0,1,1,6.317164686747284,0.5,4.0,0.0,1.0,1.0
BP0232,U0138,4,1,0.5,0.667,0,1,0,342,0.007650923013982168,0,1,1,5.8377304471659395,1.0,5.0,0.0,1.0,1.0
BP0043,U0138,5,2,1.0,0.714,0,1,0,429,0.01447010160524875,0,1,1,6.063785208687608,,,0.0,1.0,0.5
BP0006,U0139,0,1,0.5,1.0,1,0,0,282,,1,0,0,5.645446897643238,,,,,
BP0233,U0142,0,1,0.5,1.0,1,0,1,303,,1,0,0,5.717027701406222,0.5,1.0,,,
BP0037,U0142,1,1,0.5,0.556,1,1,0,521,0.007909698480331387,1,1,1,6.257667587882639,1.0,2.0,1.0,0.0,0.5
BP0011,U0142,2,2,1.0,0.556,0,1,0,299,0.47484563974498734,0,1,1,5.703782474656201,1.0,3.0,1.0,1.0,0.5
BP0161,U0142,3,2,1.0,0.333,0,2,1,499,0.1146186435000693,0,1,2,6.214608098422191,0.5,4.0,0.0,1.0,1.0
BP0383,U0142,4,1,0.5,0.143,0,1,0,405,0.03440095172706691,0,1,1,6.0063531596017325,0.5,5.0,0.0,1.0,1.0
BP0072,U0142,5,1,0.5,0.2,0,1,0,316,0.01688601897729448,0,1,1,5.75890177387728,,,0.0,1.0,0.5
BP0068,U0145,0,1,0.5,1.0,1,0,0,565,,1,0,0,6.338594078203183,0.5,1.0,,,
BP0002,U0145,1,1,0.5,0.2,0,1,0,797,0.008632370496814977,0,1,1,6.682108597449809,0.5,2.0,1.0,0.0,0.5
BP0260,U0145,2,1,0.5,0.143,0,1,0,520,0.0010379901524740869,0,1,1,6.255750041753367,0.5,3.0,0.0,1.0,0.5
BP0307,U0145,3,1,0.5,0.333,0,1,0,553,0.004773285402637805,0,1,1,6.317164686747284,0.5,4.0,0.0,1.0,0.5
BP0231,U0145,4,1,0.5,0.714,0,1,0,434,0.0007527908694358478,0,1,1,6.075346031088684,1.0,5.0,0.0,1.0,0.5
BP0295,U0145,5,2,1.0,0.6,0,1,0,554,0.01869419440280419,0,1,1,6.318968113746434,,,0.0,1.0,0.5
BP0164,U0148,0,1,0.5,0.5,1,0,0,544,,1,0,0,6.300785794663244,0.5,1.0,,,
BP0275,U0148,1,1,0.5,0.6,0,1,0,347,5.7915638112536156e-05,0,1,1,5.8522024797744745,0.5,2.0,1.0,0.0,0.5
BP0264,U0148,2,1,0.5,0.333,0,1,0,613,0.001977878766820506,0,1,1,6.419994928147142,0.5,3.0,0.0,1.0,0.5
BP0134,U0148,3,1,0.5,0.429,0,1,0,474,0.012154495250392191,0,1,1,6.163314804034641,0.5,4.0,0.0,1.0,0.5
BP0290,U0148,4,1,0.5,0.429,0,1,0,629,0.005042835960426843,0,1,1,6.4457198193855785,1.0,5.0,0.0,1.0,0.5
BP0335,U0148,5,2,1.0,0.8,0,1,0,481,0.03228138148675649,0,1,1,6.1779441140506,,,0.0,1.0,0.5
BP0294,U0149,0,1,0.5,1.0,1,0,0,380,,1,0,0,5.942799375126701,0.5,1.0,,,
BP0030,U0149,1,1,0.5,0.333,0,2,1,605,0.027910011270392547,0,1,2,6.406879986069314,1.0,2.0,1.0,0.0,0.5
BP0292,U0149,2,2,1.0,0.25,0,1,0,511,0.007125929949342111,0,1,1,6.238324625039508,0.5,3.0,0.0,1.0,0.5
BP0022,U0149,3,1,0.5,0.273,0,1,0,526,0.005118458464229842,0,1,1,6.267200548541362,1.0,4.0,0.0,1.0,1.0
BP0334,U0149,4,2,1.0,0.75,0,1,0,370,0.011232145338795296,0,1,1,5.916202062607435,0.5,5.0,0.0,1.0,0.5
BP0298,U0149,5,1,0.5,0.778,0,1,0,341,0.008840280146304488,0,1,1,5.834810737062605,,,0.0,1.0,1.0
BP0263,U0152,0,1,0.5,1.0,1,0,0,353,,1,0,0,5.869296913133774,0.5,1.0,,,
BP0255,U0152,1,1,0.5,0.2,1,1,0,269,0.010609316059447396,1,1,1,5.598421958998375,1.0,2.0,1.0,0.0,0.5
BP0009,U0152,2,2,1.0,0.429,0,1,0,310,0.010901942338909594,0,1,1,5.739792912179234,0.5,3.0,1.0,1.0,0.5
BP0328,U0152,3,1,0.5,0.333,0,1,0,349,0.0016382167185589004,0,1,1,5.857933154483459,0.5,4.0,0.0,1.0,1.0
BP0098,U0152,4,1,0.5,0.667,0,1,0,271,0.04440724905421865,0,1,1,5.605802066295998,1.0,5.0,0.0,1.0,0.5
BP0207,U0152,5,2,1.0,0.6,0,1,0,256,0.005562478573713792,0,1,1,5.54907608489522,,,0.0,1.0,0.5
BP0267,U0158,0,1,0.5,0.0,1,0,0,311,,1,0,0,5.7430031878094825,0.5,1.0,,,
BP0377,U0158,1,1,0.5,0.636,0,1,0,509,0.009044139616439155,0,1,1,6.234410725718371,1.0,2.0,1.0,0.0,0.5
BP0148,U0158,2,2,1.0,0.75,0,1,0,731,0.00039827571082118085,0,1,1,6.595780513961311,0.5,3.0,0.0,1.0,0.5
BP0246,U0158,3,1,0.5,0.5,0,1,0,430,0.01964359376562788,0,1,1,6.066108090103747,0.5,4.0,0.0,1.0,1.0
BP0225,U0158,4,1,0.5,0.5,0,1,0,441,0.009683211967255143,0,1,1,6.091309882077698,0.5,5.0,0.0,1.0,0.5
BP0131,U0158,5,1,0.5,0.333,0,1,0,478,0.01205483812645374,0,1,1,6.171700597410915,,,0.0,1.0,0.5
BP0316,U0165,0,1,0.5,1.0,1,0,0,442,,1,0,0,6.093569770045136,0.5,1.0,,,
BP0166,U0165,1,1,0.5,0.6,0,1,0,299,0.008765881270705838,0,1,1,5.703782474656201,0.5,2.0,1.0,0.0,0.5
BP0122,U0165,2,1,0.5,0.636,0,1,0,381,0.05427593712145101,0,1,1,5.945420608606575,0.5,3.0,0.0,1.0,0.5
BP0073,U0165,3,1,0.5,0.6,0,1,0,292,0.014905783242563439,0,1,1,5.680172609017068,0.5,4.0,0.0,1.0,0.5
BP0088,U0165,4,1,0.5,0.5,0,1,0,250,0.023984981314177114,0,1,1,5.5254529391317835,0.5,5.0,0.0,1.0,0.5
BP0305,U0165,5,1,0.5,0.667,0,1,0,260,0.0075214148223521,0,1,1,5.564520407322694,,,0.0,1.0,0.5
BP0340,U0167,0,1,0.5,1.0,2,0,0,287,,1,0,0,5.662960480135946,-0.5,1.0,,,
BP0143,U0167,1,-1,-0.5,0.0,1,1,0,234,0.007175781092707045,1,1,1,5.459585514144159,0.0,2.0,1.0,0.0,0.5
BP0083,U0167,2,0,0.0,0.0,0,1,0,447,0.15039184247328402,0,1,1,6.104793232414985,0.5,3.0,1.0,1.0,-0.5
BP0372,U0167,3,1,0.5,0.6,0,1,0,296,0.2601437064633067,0,1,1,5.6937321388027,0.0,4.0,0.0,1.0,0.0
BP0259,U0167,4,0,0.0,0.2,0,1,0,473,2.8978909804439173e-05,0,1,1,6.161207321695077,0.5,5.0,0.0,1.0,0.5
BP0228,U0167,5,1,0.5,0.333,0,1,0,387,0.006809437184415697,0,1,1,5.961005339623274,,,0.0,1.0,0.0
BP0236,U0173,0,1,0.5,1.0,1,0,0,382,,1,0,0,5.948034989180646,,,,,
BP0038,U0175,0,1,0.5,1.0,1,0,0,513,,1,0,0,6.2422232654551655,0.5,1.0,,,
BP0015,U0175,1,1,0.5,0.5,0,1,0,276,3.7367280305683426e-05,0,1,1,5.6240175061873385,0.0,2.0,1.0,0.0,0.5
BP0029,U0175,2,0,0.0,0.5,0,1,0,332,1.6501664535113976e-05,0,1,1,5.808142489980444,,,0.0,1.0,0.5
BP0092,U0178,0,1,0.5,1.0,1,0,1,294,,1,0,0,5.68697535633982,0.5,1.0,,,
BP0193,U0178,1,1,0.5,0.714,1,1,0,305,0.01640253735637839,1,1,1,5.723585101952381,1.0,2.0,1.0,0.0,0.5
BP0234,U0178,2,2,1.0,0.2,2,1,0,267,0.3585059553140661,1,1,1,5.5909869805108565,0.5,3.0,1.0,1.0,0.5
BP0054,U0178,3,1,0.5,0.6,0,1,1,445,0.020559798803809006,0,1,1,6.100318952020064,1.0,4.0,1.0,1.0,1.0
BP0279,U0178,4,2,1.0,0.5,0,1,0,397,0.002425480285974551,0,1,1,5.986452005284438,1.0,5.0,0.0,1.0,0.5
BP0101,U0178,5,2,1.0,0.5,0,1,0,381,0.0025827125899356537,0,1,1,5.945420608606575,,,0.0,1.0,1.0
BP0136,U0184,0,2,1.0,1.0,1,0,0,313,,1,0,0,5.749392985908253,,,,,
